Country,CountryCode,Series,2019
Afghanistan,AFG,Trade (% of GDP),..
Albania,ALB,Trade (% of GDP),76.2791946495763
Algeria,DZA,Trade (% of GDP),51.8097384415762
American Samoa,ASM,Trade (% of GDP),156.568778979907
Andorra,AND,Trade (% of GDP),..
Angola,AGO,Trade (% of GDP),57.8295381183036
Antigua and Barbuda,ATG,Trade (% of GDP),137.625175755884
Argentina,ARG,Trade (% of GDP),32.6306150458499
Armenia,ARM,Trade (% of GDP),96.1141541288708
Aruba,ABW,Trade (% of GDP),145.343572735289
Australia,AUS,Trade (% of GDP),45.7489633556611
Austria,AUT,Trade (% of GDP),107.892514611522
Azerbaijan,AZE,Trade (% of GDP),85.8181454084561
"Bahamas, The",BHS,Trade (% of GDP),72.3992434162665
Bahrain,BHR,Trade (% of GDP),141.700834964514
Bangladesh,BGD,Trade (% of GDP),31.5780512814675
Barbados,BRB,Trade (% of GDP),80.8550673082324
Belarus,BLR,Trade (% of GDP),130.850132114123
Belgium,BEL,Trade (% of GDP),164.166215073989
Belize,BLZ,Trade (% of GDP),102.201303476517
Benin,BEN,Trade (% of GDP),63.68133231423
Bermuda,BMU,Trade (% of GDP),77.5601016506443
Bhutan,BTN,Trade (% of GDP),76.1235174155789
Bolivia,BOL,Trade (% of GDP),56.3973067281247
Bosnia and Herzegovina,BIH,Trade (% of GDP),94.5161278874242
Botswana,BWA,Trade (% of GDP),83.0929813601175
Brazil,BRA,Trade (% of GDP),28.8902578692948
British Virgin Islands,VGB,Trade (% of GDP),..
Brunei Darussalam,BRN,Trade (% of GDP),108.509658357959
Bulgaria,BGR,Trade (% of GDP),124.688701193655
Burkina Faso,BFA,Trade (% of GDP),60.4086928806888
Burundi,BDI,Trade (% of GDP),29.0262100000001
Cabo Verde,CPV,Trade (% of GDP),103.602656463726
Cambodia,KHM,Trade (% of GDP),123.556523773641
Cameroon,CMR,Trade (% of GDP),43.3785132480415
Canada,CAN,Trade (% of GDP),66.1714852804959
Cayman Islands,CYM,Trade (% of GDP),114.838539695171
Central African Republic,CAF,Trade (% of GDP),50.0658000014868
Chad,TCD,Trade (% of GDP),74.5705255558558
Channel Islands,CHI,Trade (% of GDP),..
Chile,CHL,Trade (% of GDP),57.5468575300305
China,CHN,Trade (% of GDP),35.8900960338084
Colombia,COL,Trade (% of GDP),37.558533980839
Comoros,COM,Trade (% of GDP),42.2680785350184
"Congo, Dem. Rep.",COD,Trade (% of GDP),55.2351580399854
"Congo, Rep.",COG,Trade (% of GDP),91.5757577206648
Costa Rica,CRI,Trade (% of GDP),65.7605300175717
Cote d'Ivoire,CIV,Trade (% of GDP),44.5274919384227
Croatia,HRV,Trade (% of GDP),101.375238725593
Cuba,CUB,Trade (% of GDP),22.8207944494506
Curacao,CUW,Trade (% of GDP),..
Cyprus,CYP,Trade (% of GDP),151.944491675827
Czechia,CZE,Trade (% of GDP),141.771023662617
Denmark,DNK,Trade (% of GDP),110.224828604234
Djibouti,DJI,Trade (% of GDP),320.939002998625
Dominica,DMA,Trade (% of GDP),..
Dominican Republic,DOM,Trade (% of GDP),51.0111449209557
Ecuador,ECU,Trade (% of GDP),46.0768211909258
"Egypt, Arab Rep.",EGY,Trade (% of GDP),41.1240171551108
El Salvador,SLV,Trade (% of GDP),76.0420130991468
Equatorial Guinea,GNQ,Trade (% of GDP),94.8787924253545
Eritrea,ERI,Trade (% of GDP),..
Estonia,EST,Trade (% of GDP),143.754530253766
Eswatini,SWZ,Trade (% of GDP),89.188621687827
Ethiopia,ETH,Trade (% of GDP),28.8153010070423
Faroe Islands,FRO,Trade (% of GDP),108.623245950251
Fiji,FJI,Trade (% of GDP),107.411463822998
Finland,FIN,Trade (% of GDP),79.605433214652
France,FRA,Trade (% of GDP),64.1414731902028
French Polynesia,PYF,Trade (% of GDP),63.3061124024003
Gabon,GAB,Trade (% of GDP),73.4280894486644
"Gambia, The",GMB,Trade (% of GDP),53.2696525651825
Georgia,GEO,Trade (% of GDP),118.599368307339
Germany,DEU,Trade (% of GDP),88.3183894580195
Ghana,GHA,Trade (% of GDP),76.8248018271755
Gibraltar,GIB,Trade (% of GDP),..
Greece,GRC,Trade (% of GDP),81.885923258543
Greenland,GRL,Trade (% of GDP),92.1907515607492
Grenada,GRD,Trade (% of GDP),..
Guam,GUM,Trade (% of GDP),77.8353754319824
Guatemala,GTM,Trade (% of GDP),45.5167427491815
Guinea,GIN,Trade (% of GDP),78.4153132291929
Guinea-Bissau,GNB,Trade (% of GDP),55.3725855838767
Guyana,GUY,Trade (% of GDP),..
Haiti,HTI,Trade (% of GDP),44.5687187734548
Honduras,HND,Trade (% of GDP),98.0275897083463
"Hong Kong SAR, China",HKG,Trade (% of GDP),353.743521139731
Hungary,HUN,Trade (% of GDP),160.751343279331
Iceland,ISL,Trade (% of GDP),82.8627457813882
India,IND,Trade (% of GDP),39.9054035298391
Indonesia,IDN,Trade (% of GDP),37.6277775362938
"Iran, Islamic Rep.",IRN,Trade (% of GDP),50.7543343501077
Iraq,IRQ,Trade (% of GDP),68.9899384202806
Ireland,IRL,Trade (% of GDP),252.495271979574
